id,account,username,email,first_name,last_name,is_active,is_staff,verified,requested_verified,picture,banner,location,url,birthday,profile_info,date_created,pais,edad,salario,comprado
11,0xa9c2a6e447adc44b34c156b3357619fc485d38ee,0xa9c2a6e447adc44b34c156b3357619fc485d38ee,chiquita@gmail.com,Chiquito,Flores,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:46:46,Colombia,33,57000,0
10,0x38a8213df8e8c7561c45c39c53df97b3b6e2732b,0x38a8213df8e8c7561c45c39c53df97b3b6e2732b,wanda@gmail.com,Wandanara,La petera,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:45:35,Ecuador,24,98000,0
9,0xfb8c45e7e76cdb90c35cd80b7a8547ef11d78896,0xfb8c45e7e76cdb90c35cd80b7a8547ef11d78896,maiil@buyer6.com,Pepito,De los Paletos,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:44:10,Colombia,34,76000,0
8,0xb5fcaeac0f5c946c576797d8647b0aa0eb716332,0xb5fcaeac0f5c946c576797d8647b0aa0eb716332,mail@buyer5.com,Luis,Ortiz,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:42:28,Peru,50,,1
6,0xb9d06f4c6a60f47be77c94a147bee7c997cf7829,0xb9d06f4c6a60f47be77c94a147bee7c997cf7829,mail@buyer4.com,Valeria,Ricardez,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:40:57,Ecuador,28,45000,1
5,0xffacf6a27ffe1afe3629d1822cb998f734bcbfeb,0xffacf6a27ffe1afe3629d1822cb998f734bcbfeb,mail@buyer3.com,Julia,Pepita,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:39:23,Colombia,40,56000,1
4,0xc4fcf1630ed927b9da3c9d7d099c3af08e604d06,0xc4fcf1630ed927b9da3c9d7d099c3af08e604d06,mail@rodrigoo.com,Rodrigo,Sanchez,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:37:57,Peru,34,45000,0
3,0xba58ab6a0448630d0179763291a02b5d814f18de,0xba58ab6a0448630d0179763291a02b5d814f18de,juliio@gmail.com,Julio,Domingo,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:36:17,Ecuador,,86000,0
2,0xf87c1a5d77b1a570e89ddb4a256e058432ecfb0a,0xf87c1a5d77b1a570e89ddb4a256e058432ecfb0a,mail@maiil.com,Jose,Perez,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 12:35:00,Colombia,44,72000,1
1,0x0cd562b31afa354534bcd851337ba3c73078476f,0x0cd562b31afa354534bcd851337ba3c73078476f,mail@solopython.com,Eric,Alexander,0,0,0,0,users/user_default_profile.png,users/user_default_bg.jpg,,,,,2022-08-21 01:17:21,Peru,24,1000000,1
